state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked
New Mexico,5857,122727,null,208,886,null,null,null,null,1739,"""5/16 18:05""","""5/17 16:08""",259,886,128584,128584,128584,"""35""","""2020-05-16T22:05:00Z""","""2020-05-17T20:08:00Z"""
Nevada,6857,73780,null,423,null,105,null,65,null,272,"""5/17 11:00""","""5/17 17:03""",349,null,80637,80637,80637,"""32""","""2020-05-17T15:00:00Z""","""2020-05-17T21:03:00Z"""
New York,350121,1063275,null,5897,75525,1981,null,1601,null,61381,"""5/17 00:00""","""5/17 17:31""",22619,75525,1413396,1413396,1413396,"""36""","""2020-05-17T04:00:00Z""","""2020-05-17T21:31:00Z"""
Ohio,27923,236539,null,914,4921,343,1305,230,null,null,"""5/17 14:00""","""5/17 15:59""",1625,4921,264462,264462,264462,"""39""","""2020-05-17T18:00:00Z""","""2020-05-17T19:59:00Z"""
Oklahoma,5310,118162,null,180,880,73,null,null,null,3983,"""5/17 00:00""","""5/17 15:55""",288,880,123472,123472,123472,"""40""","""2020-05-17T04:00:00Z""","""2020-05-17T19:55:00Z"""
Oregon,3623,90733,null,156,703,37,null,16,null,1406,"""5/17 11:00""","""5/17 16:59""",137,703,94356,94356,94356,"""41""","""2020-05-17T15:00:00Z""","""2020-05-17T20:59:00Z"""
Pennsylvania,62234,270670,null,1821,null,null,null,422,null,null,"""5/17 00:00""","""5/17 15:19""",4418,null,332904,332904,332904,"""42""","""2020-05-17T04:00:00Z""","""2020-05-17T19:19:00Z"""
Rhode Island,12674,99876,null,260,1418,64,null,45,null,972,"""5/17 12:00""","""5/17 15:33""",499,1418,112550,112550,112550,"""44""","""2020-05-17T16:00:00Z""","""2020-05-17T19:33:00Z"""
South Carolina,8661,111670,null,null,1421,null,null,null,null,5076,"""5/16 17:25""","""5/17 14:50""",380,1421,120331,120331,120331,"""45""","""2020-05-16T21:25:00Z""","""2020-05-17T18:50:00Z"""
South Dakota,3987,24572,null,77,312,null,null,null,null,2724,"""5/16 18:00""","""5/17 14:47""",44,312,28559,28559,28559,"""46""","""2020-05-16T22:00:00Z""","""2020-05-17T18:47:00Z"""
Tennessee,17388,307892,null,null,1482,null,null,null,null,9652,"""5/17 15:00""","""5/17 15:26""",298,1482,325280,325280,325280,"""47""","""2020-05-17T19:00:00Z""","""2020-05-17T19:26:00Z"""
Texas,47784,645492,null,1512,null,null,null,null,null,27570,"""5/17 16:15""","""5/17 16:34""",1336,null,693276,693276,693276,"""48""","""2020-05-17T20:15:00Z""","""2020-05-17T20:34:00Z"""
Utah,7238,163514,null,181,586,null,196,null,84,4075,"""5/17 12:04""","""5/17 15:47""",80,586,170752,170752,170752,"""49""","""2020-05-17T16:04:00Z""","""2020-05-17T19:47:00Z"""
Virginia,30388,159973,527,1524,5517,379,null,195,null,3993,"""5/16 17:00""","""5/17 14:43""",1009,5517,190888,190361,190361,"""51""","""2020-05-16T21:00:00Z""","""2020-05-17T18:43:00Z"""
Vermont,940,21342,null,14,null,null,null,null,null,810,"""5/17 00:00""","""5/17 14:31""",54,null,22282,22282,22282,"""50""","""2020-05-17T04:00:00Z""","""2020-05-17T18:31:00Z"""
Washington,18288,262705,null,168,null,52,null,null,null,null,"""5/16 02:59""","""5/17 17:03""",1000,null,280993,280993,280993,"""53""","""2020-05-16T06:59:00Z""","""2020-05-17T21:03:00Z"""
Wisconsin,12543,139674,182,543,2038,129,494,null,null,6542,"""5/17 00:00""","""5/17 15:16""",453,2038,152399,152217,152217,"""55""","""2020-05-17T04:00:00Z""","""2020-05-17T19:16:00Z"""
West Virginia,1490,74000,null,48,null,11,null,7,null,919,"""5/17 17:00""","""5/17 17:39""",67,null,75490,75490,75490,"""54""","""2020-05-17T21:00:00Z""","""2020-05-17T21:39:00Z"""
Wyoming,754,16331,null,8,70,null,null,null,null,498,"""5/16 15:07""","""5/17 15:03""",8,70,17085,17085,17085,"""56""","""2020-05-16T19:07:00Z""","""2020-05-17T19:03:00Z"""
Puerto Rico,2646,null,null,null,null,24,null,5,null,null,"""5/17 05:51""","""5/17 15:52""",123,null,2646,2646,2646,"""72""","""2020-05-17T09:51:00Z""","""2020-05-17T19:52:00Z"""
AS,0,105,null,null,null,null,null,null,null,null,"""5/10 00:00""","""5/17 16:44""",0,null,105,105,105,"""60""","""2020-05-10T04:00:00Z""","""2020-05-17T20:44:00Z"""
Guam,154,4450,null,null,null,null,null,null,null,126,"""5/16 04:30""","""5/17 15:25""",5,null,4604,4604,4604,"""66""","""2020-05-16T08:30:00Z""","""2020-05-17T19:25:00Z"""
Northern Mariana Islands,21,3318,null,null,null,null,null,null,null,12,"""5/16 00:00""","""5/17 16:27""",2,null,3339,3339,3339,"""69""","""2020-05-16T04:00:00Z""","""2020-05-17T20:27:00Z"""
US Virgin Islands,69,1278,45,null,null,null,null,null,null,61,"""5/16 18:35""","""5/17 14:33""",6,null,1392,1347,1347,"""78""","""2020-05-16T22:35:00Z""","""2020-05-17T18:33:00Z"""
